date,state,fips,cases,deaths
2022-06-17,Florida,12,6345663,75096
2022-06-18,Florida,12,6345663,75096
2022-06-19,Florida,12,6345663,75096
2022-06-20,Florida,12,6345663,75096
2022-06-25,Florida,12,6430582,75574
2022-06-26,Florida,12,6430582,75574
2022-07-01,Florida,12,6493977,75891
2022-07-02,Florida,12,6493977,75891
2022-07-03,Florida,12,6493977,75891
2022-07-04,Florida,12,6493977,75891
2022-07-08,Florida,12,6561833,76193
2022-07-09,Florida,12,6561833,76193
2022-07-10,Florida,12,6561833,76193
2022-07-15,Florida,12,6640046,76662
2022-07-16,Florida,12,6640046,76662
2022-07-17,Florida,12,6640046,76662
2022-07-22,Florida,12,6716112,77098
2022-07-23,Florida,12,6716112,77098
2022-07-24,Florida,12,6716112,77098
2022-07-29,Florida,12,6789498,77565
2022-07-30,Florida,12,6789498,77565
2022-07-31,Florida,12,6789498,77565
2022-08-01,Florida,12,6815107,77734
2022-08-02,Florida,12,6815107,77734
2022-08-05,Florida,12,6855234,78047
2022-08-06,Florida,12,6855234,78047
2022-08-07,Florida,12,6855234,78047
2022-08-12,Florida,12,6909416,78559
2022-08-13,Florida,12,6909416,78559
2022-08-14,Florida,12,6909416,78559
2022-08-19,Florida,12,6954834,79017
2022-08-20,Florida,12,6954834,79017
2022-08-21,Florida,12,6954834,79017
2022-08-26,Florida,12,6998561,79573
2022-08-27,Florida,12,6998561,79573
2022-08-28,Florida,12,6998561,79573
2022-09-02,Florida,12,7037431,80027
2022-09-03,Florida,12,7037431,80027
2022-09-04,Florida,12,7037431,80027
2022-09-05,Florida,12,7037431,80027
2022-09-06,Florida,12,7051414,80209
2022-09-07,Florida,12,7051414,80209
2022-09-09,Florida,12,7066234,80386
2022-09-10,Florida,12,7066234,80386
2022-09-11,Florida,12,7066234,80386
2022-09-16,Florida,12,7089180,80782
2022-09-17,Florida,12,7089180,80782
2022-09-18,Florida,12,7089180,80782
2022-09-23,Florida,12,7106653,81139
2022-09-24,Florida,12,7106653,81139
2022-09-25,Florida,12,7106653,81139
2022-09-30,Florida,12,7118498,81416
2022-10-01,Florida,12,7118498,81416
2022-10-02,Florida,12,7118498,81416
2022-10-07,Florida,12,7129245,81661
2022-10-08,Florida,12,7129245,81661
2022-10-09,Florida,12,7129245,81661
2022-10-10,Florida,12,7129245,81661
2022-10-14,Florida,12,7139149,81910
2022-10-15,Florida,12,7139149,81910
2022-10-16,Florida,12,7139149,81910
2022-10-19,Florida,12,7145833,82065
2022-10-20,Florida,12,7145833,82065
2022-10-21,Florida,12,7149300,82176
2022-10-22,Florida,12,7149300,82176
2022-10-23,Florida,12,7149300,82176
2022-10-24,Florida,12,7149300,82176
2022-10-25,Florida,12,7149300,82176
2022-10-26,Florida,12,7149300,82176
2022-10-27,Florida,12,7149300,82176
2022-10-28,Florida,12,7149300,82176
2022-10-29,Florida,12,7149300,82176
2022-10-30,Florida,12,7149300,82176
2022-10-31,Florida,12,7149300,82176
2022-11-01,Florida,12,7149300,82176
2022-11-02,Florida,12,7149300,82176
2022-11-03,Florida,12,7149300,82176
2022-11-04,Florida,12,7172457,82541
2022-11-05,Florida,12,7172457,82541
2022-11-06,Florida,12,7172457,82541
2022-11-07,Florida,12,7172457,82541
2022-11-08,Florida,12,7172457,82541
2022-11-09,Florida,12,7172457,82541
2022-11-10,Florida,12,7172457,82541
2022-11-11,Florida,12,7172457,82541
2022-11-12,Florida,12,7172457,82541
2022-11-13,Florida,12,7172457,82541
2022-11-14,Florida,12,7172457,82541
2022-11-15,Florida,12,7172457,82541
2022-11-16,Florida,12,7172457,82541
2022-11-17,Florida,12,7172457,82541
2022-11-18,Florida,12,7195943,82875
2022-11-19,Florida,12,7195943,82875
2022-11-20,Florida,12,7195943,82875
2022-11-21,Florida,12,7195943,82875
2022-11-22,Florida,12,7195943,82875
2022-11-23,Florida,12,7195943,82875
2022-11-24,Florida,12,7195943,82875
2022-11-25,Florida,12,7195943,82875
2022-11-26,Florida,12,7195943,82875
2022-11-27,Florida,12,7195943,82875
2022-11-28,Florida,12,7195943,82875
2022-11-29,Florida,12,7195943,82875
2022-11-30,Florida,12,7195943,82875
2022-12-01,Florida,12,7195943,82875
2022-12-02,Florida,12,7226875,83100
2022-12-03,Florida,12,7226875,83100
2022-12-04,Florida,12,7226875,83100
2022-12-05,Florida,12,7226875,83100
2022-12-06,Florida,12,7226875,83100
2022-12-07,Florida,12,7226875,83100
2022-12-08,Florida,12,7226875,83100
2022-12-09,Florida,12,7226875,83200
2022-12-10,Florida,12,7226875,83200
2022-12-11,Florida,12,7226875,83200
2022-12-12,Florida,12,7226875,83200
2022-12-13,Florida,12,7226875,83200
2022-12-14,Florida,12,7226875,83200
2022-12-15,Florida,12,7226875,83200
2022-12-16,Florida,12,7269428,83606
2022-12-17,Florida,12,7269428,83606
2022-12-18,Florida,12,7269428,83606
2022-12-19,Florida,12,7269428,83606
2022-12-20,Florida,12,7269428,83606
2022-12-21,Florida,12,7269428,83606
2022-12-22,Florida,12,7269428,83606
2022-12-23,Florida,12,7269428,83606
2022-12-24,Florida,12,7269428,83606
2022-12-25,Florida,12,7269428,83606
2022-12-26,Florida,12,7269428,83606
2022-12-27,Florida,12,7269428,83606
2022-12-28,Florida,12,7269428,83606
2022-12-29,Florida,12,7269428,83606
2022-12-30,Florida,12,7269428,83911
2022-12-31,Florida,12,7269428,83911
2023-01-01,Florida,12,7269428,83911
2023-01-02,Florida,12,7269428,83911
2023-01-03,Florida,12,7269428,83911
2023-01-04,Florida,12,7269428,83912
2023-01-05,Florida,12,7269428,83912
2023-01-06,Florida,12,7350177,84176
2023-01-07,Florida,12,7350177,84176
2023-01-08,Florida,12,7350177,84176
2023-01-09,Florida,12,7350177,84176
2023-01-10,Florida,12,7350177,84176
2023-01-11,Florida,12,7350177,84176
2023-01-12,Florida,12,7350177,84176
2023-01-13,Florida,12,7350177,84176
2023-01-14,Florida,12,7350177,84176
2023-01-15,Florida,12,7350177,84176
2023-01-16,Florida,12,7350177,84176
2023-01-17,Florida,12,7350177,84176
2023-01-18,Florida,12,7350177,84176
2023-01-19,Florida,12,7350177,84176
2023-01-20,Florida,12,7400419,84927
2023-01-21,Florida,12,7400419,84927
2023-01-22,Florida,12,7400419,84927
2023-01-23,Florida,12,7400419,84927
2023-01-24,Florida,12,7400419,84927
2023-01-25,Florida,12,7400419,84927
2023-01-26,Florida,12,7400419,84927
2023-01-27,Florida,12,7400419,84927
2023-01-28,Florida,12,7400419,84927
2023-01-29,Florida,12,7400419,84927
2023-01-30,Florida,12,7400419,84927
2023-01-31,Florida,12,7400419,84927
2023-02-01,Florida,12,7400419,84927
2023-02-02,Florida,12,7400419,84927
2023-02-03,Florida,12,7440322,85710
2023-02-04,Florida,12,7440322,85710
2023-02-05,Florida,12,7440322,85710
2023-02-06,Florida,12,7440322,85710
2023-02-07,Florida,12,7440322,85710
2023-02-08,Florida,12,7440322,85710
2023-02-09,Florida,12,7440322,85710
2023-02-10,Florida,12,7440322,85710
2023-02-11,Florida,12,7440322,85710
2023-02-12,Florida,12,7440322,85710
2023-02-13,Florida,12,7440322,85710
2023-02-14,Florida,12,7440322,85710
2023-02-15,Florida,12,7440322,85710
2023-02-16,Florida,12,7440322,85710
2023-02-17,Florida,12,7473371,86294
2023-02-18,Florida,12,7473371,86294
2023-02-19,Florida,12,7473371,86294
2023-02-20,Florida,12,7473371,86294
2023-02-21,Florida,12,7473371,86294
2023-02-22,Florida,12,7473371,86294
2023-02-23,Florida,12,7473371,86294
2023-02-24,Florida,12,7473371,86294
2023-02-25,Florida,12,7473371,86294
2023-02-26,Florida,12,7473371,86294
2023-02-27,Florida,12,7473371,86294
2023-02-28,Florida,12,7473371,86294
2023-03-01,Florida,12,7473371,86294
2023-03-02,Florida,12,7473371,86294
2023-03-03,Florida,12,7531055,86850
2023-03-04,Florida,12,7531055,86850
2023-03-05,Florida,12,7531055,86850
2023-03-06,Florida,12,7531055,86850
2023-03-07,Florida,12,7531055,86850
2023-03-08,Florida,12,7531055,86850
2023-03-09,Florida,12,7531055,86850
2023-03-10,Florida,12,7531055,86850
2023-03-11,Florida,12,7531055,86850
2023-03-12,Florida,12,7531055,86850
2023-03-13,Florida,12,7531055,86850
2023-03-14,Florida,12,7531055,86850
2023-03-15,Florida,12,7531055,86850
2023-03-16,Florida,12,7531055,86850
2023-03-17,Florida,12,7542869,87141
2023-03-18,Florida,12,7542869,87141
2023-03-19,Florida,12,7542869,87141
2023-03-20,Florida,12,7542869,87141
2023-03-21,Florida,12,7542869,87141
2023-03-22,Florida,12,7542869,87141
2023-03-23,Florida,12,7542869,87141
